candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8411481936479475,0.6071428571428571,0.6071428571428571,0.6237119708168721,0.2047892234264611,0.155055111674063,0.11221320007249284,0.38233668963906176,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8410740915312419,0.6071428571428571,0.6071428571428571,0.626045733999724,0.1655286405010639,0.15723888463396046,0.12535593852540053,0.36481601810559416,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.6785714285714286,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8407521992438769,0.6071428571428571,0.6071428571428571,0.6243847414949626,0.18108840590248726,0.1432625891848152,0.1028723507343791,0.47271523869788146,28,0.35714285714285715,0.35714285714285715,0.9642857142857143,0.7142857142857143,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.3__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8406279544585846,0.6071428571428571,0.6071428571428571,0.6131517377923641,0.20673849544701478,0.15535323757814812,0.11137082511861388,0.3799592322814347,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.840584473727348,0.6071428571428571,0.6071428571428571,0.6333225994149364,0.17441810633742538,0.14070296251298825,0.10186015546455351,0.49138857478135045,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8404915198371394,0.6071428571428571,0.6071428571428571,0.629594643602138,0.17452539604625114,0.14232657037009974,0.10271631522135032,0.4795828534577695,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__all_zeros_mean__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8390265296628756,0.5714285714285714,0.5714285714285714,0.6588467446734684,0.1687852221279746,0.15725120044121305,0.1254556907889942,0.3647165120594724,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.6785714285714286,0.6785714285714286,0.6071428571428571,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8388839888048397,0.6071428571428571,0.6071428571428571,0.6207255774742312,0.20337340178537655,0.15541175980699767,0.11190641008595441,0.37949200027716457,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8388430290936275,0.6071428571428571,0.6071428571428571,0.6221974564893127,0.20222153697638773,0.1545316613572497,0.11090260763032951,0.3864999875905629,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8387692771303362,0.5714285714285714,0.5714285714285714,0.6339208467840165,0.16158554481047574,0.14280237240382704,0.10007059098874606,0.4760974967997075,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6428571428571429,0.6071428571428571,0.5714285714285714,10,10
