candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9347356001125852,0.6428571428571429,0.6428571428571429,0.8075526616444151,0.1453284750474935,0.1349717550761528,0.09581746018099721,0.5246935775456362,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9346710163943017,0.75,0.75,0.8319168041652107,0.15327076707494067,0.160378006568557,0.12473589059835032,0.32891502659555594,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8214285714285714,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9346688294557843,0.6785714285714286,0.6785714285714286,0.8173360864457822,0.17071035402360812,0.17668098294454126,0.13834188734060388,0.18554422746202026,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.8214285714285714,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9342091001383588,0.75,0.75,0.8197332202530566,0.15862718111218882,0.1255348698782546,0.09396181540075253,0.5888345199180705,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9335947538298207,0.7142857142857143,0.7142857142857143,0.7960274987736392,0.18349191912307253,0.18919082281854463,0.14626020922057548,0.06612655921298483,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.75,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9333317514000441,0.75,0.75,0.8440676456432623,0.15018130023916287,0.15295393773817578,0.11976854095676683,0.3896074607151111,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.7857142857142857,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9332361550515095,0.7142857142857143,0.7142857142857143,0.8001196204638696,0.1578324483845334,0.14370931657117403,0.10961925043401712,0.4611625895143937,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.75,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__extra_trees__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9328619366736093,0.6428571428571429,0.6428571428571429,0.7706677871094024,0.1462678496897353,0.13192806915609992,0.09345135251404889,0.5458887041626175,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
classifier__missing_rows_interpolate__gradient_boosting_clf__standard,classifier,missing_rows_interpolate,gradient_boosting_clf,standard,,0.9328468751616136,0.75,0.75,0.7710156639983716,0.2670851074906379,0.23562920550220373,0.2015165645006427,-0.4485921588442576,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6428571428571429,0.6428571428571429,10,10
classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,classifier,missing_rows_interpolate,gradient_boosting_clf,highlight_weighted,,0.9327881349378212,0.6428571428571429,0.6428571428571429,0.7596076193010709,0.22647051319149453,0.21496166322379853,0.18067331689332297,-0.20561854485169562,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6428571428571429,0.6428571428571429,10,10
