frame_id,original_frame_idx,frame_path,timestamp,timestamp_str
79,5670,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00079.jpg,189.0,03:09
80,5700,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00080.jpg,190.0,03:10
81,6000,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00081.jpg,200.0,03:20
82,6060,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00082.jpg,202.0,03:22
83,6090,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00083.jpg,203.0,03:23
84,6120,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00084.jpg,204.0,03:24
85,6150,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00085.jpg,205.0,03:25
86,6240,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00086.jpg,208.0,03:28
87,6270,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00087.jpg,209.0,03:29
88,6510,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00088.jpg,217.0,03:37
89,6570,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00089.jpg,219.0,03:39
90,6690,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00090.jpg,223.0,03:43
91,6780,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00091.jpg,226.0,03:46
92,6840,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00092.jpg,228.0,03:48
93,6900,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00093.jpg,230.0,03:50
94,7020,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00094.jpg,234.0,03:54
95,7200,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00095.jpg,240.0,04:00
96,7320,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00096.jpg,244.0,04:04
97,7350,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00097.jpg,245.0,04:05
98,7380,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00098.jpg,246.0,04:06
99,7440,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00099.jpg,248.0,04:08
100,7530,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00100.jpg,251.0,04:11
101,7560,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00101.jpg,252.0,04:12
102,7590,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00102.jpg,253.0,04:13
103,7620,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00103.jpg,254.0,04:14
104,7830,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00104.jpg,261.0,04:21
105,7920,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00105.jpg,264.0,04:24
106,7950,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00106.jpg,265.0,04:25
107,8370,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00107.jpg,279.0,04:39
108,8400,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00108.jpg,280.0,04:40
109,8430,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00109.jpg,281.0,04:41
110,8640,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00110.jpg,288.0,04:48
111,8700,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00111.jpg,290.0,04:50
112,8730,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00112.jpg,291.0,04:51
113,8760,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00113.jpg,292.0,04:52
114,8880,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00114.jpg,296.0,04:56
115,9000,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00115.jpg,300.0,05:00
116,9030,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00116.jpg,301.0,05:01
117,9060,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00117.jpg,302.0,05:02
118,9120,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00118.jpg,304.0,05:04
119,9150,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00119.jpg,305.0,05:05
120,9180,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00120.jpg,306.0,05:06
121,9210,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00121.jpg,307.0,05:07
122,9240,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00122.jpg,308.0,05:08
123,9270,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00123.jpg,309.0,05:09
124,9300,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00124.jpg,310.0,05:10
125,9330,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00125.jpg,311.0,05:11
126,9840,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00126.jpg,328.0,05:28
127,9900,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00127.jpg,330.0,05:30
128,10110,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00128.jpg,337.0,05:37
129,10170,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00129.jpg,339.0,05:39
130,10200,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00130.jpg,340.0,05:40
131,10350,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00131.jpg,345.0,05:45
132,10440,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00132.jpg,348.0,05:48
133,10470,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00133.jpg,349.0,05:49
134,10500,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00134.jpg,350.0,05:50
135,10530,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00135.jpg,351.0,05:51
136,10590,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00136.jpg,353.0,05:53
137,10620,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00137.jpg,354.0,05:54
138,10680,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00138.jpg,356.0,05:56
139,10800,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00139.jpg,360.0,06:00
140,10890,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00140.jpg,363.0,06:03
141,10920,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00141.jpg,364.0,06:04
142,10950,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00142.jpg,365.0,06:05
143,11100,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00143.jpg,370.0,06:10
144,11310,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00144.jpg,377.0,06:17
145,11370,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00145.jpg,379.0,06:19
146,11550,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00146.jpg,385.0,06:25
147,11640,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00147.jpg,388.0,06:28
148,11670,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00148.jpg,389.0,06:29
149,11760,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00149.jpg,392.0,06:32
150,11790,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00150.jpg,393.0,06:33
151,11880,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00151.jpg,396.0,06:36
152,12120,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00152.jpg,404.0,06:44
153,12210,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00153.jpg,407.0,06:47
154,12240,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00154.jpg,408.0,06:48
