start_sec,end_sec,start_time,end_time,num_detections,character_count,emotion_count,avg_mismatch,emotion_entropy,transition_score,avg_emotion_confidence,highlight_score
65,70,01:05,01:10,3,1,3,0.39999999999999997,0.5645750325118847,0.4,0.31649478773276013,0.42114375812797117
205,210,03:25,03:30,2,1,2,0.6000000000000001,0.3562071860802255,0.2,0.509533628821373,0.41905179652005653
1395,1400,23:15,23:20,2,1,2,0.6000000000000001,0.3562071860802255,0.2,0.39663195610046387,0.41905179652005653
30,35,00:30,00:35,2,1,2,0.6,0.3562071860802255,0.2,0.5914439260959625,0.4190517965200564
385,390,06:25,06:30,3,3,2,0.6,0.3271035749537682,0.0,0.28413519263267517,0.4117758937384421
510,515,08:30,08:35,3,3,3,0.4666666666666666,0.5645750325118847,0.0,0.428174485762914,0.41114375812797116
95,100,01:35,01:40,3,3,3,0.4666666666666666,0.5645750325118847,0.0,0.4102257192134857,0.41114375812797116
370,375,06:10,06:15,2,2,1,0.8,-5.13898384632941e-10,0.0,0.2761398255825043,0.39999999987152546
1695,1700,28:15,28:20,4,2,3,0.325,0.5343107791203382,0.4,0.5323569439351559,0.3998276947800846
1155,1160,19:15,19:20,2,2,2,0.6,0.3562071860802255,0.0,0.2866663783788681,0.3990517965200564
1150,1155,19:10,19:15,2,2,2,0.6,0.3562071860802255,0.0,0.2824287414550781,0.3990517965200564
760,765,12:40,12:45,4,3,2,0.5,0.28898309764806296,0.2,0.27057674899697304,0.39724577441201575
45,50,00:45,00:50,3,3,2,0.5666666666666668,0.3271035749537682,0.0,0.36586445073286694,0.3967758937384421
455,460,07:35,07:40,2,1,2,0.55,0.3562071860802255,0.2,0.32607515156269073,0.39655179652005645
650,655,10:50,10:55,3,2,2,0.6,0.3271035749537682,0.0,0.406351774930954,0.3917758937384421
1430,1435,23:50,23:55,3,2,2,0.5,0.3271035749537682,0.2,0.3204885423183441,0.3867758937384421
1745,1750,29:05,29:10,3,2,2,0.5,0.3271035749537682,0.2,0.46906037131945294,0.3867758937384421
620,625,10:20,10:25,3,2,3,0.3666666666666667,0.5645750325118847,0.2,0.4788640836874644,0.3861437581279712
450,455,07:30,07:35,3,2,3,0.3666666666666667,0.5645750325118847,0.2,0.3501884837945302,0.3861437581279712
780,785,13:00,13:05,7,2,2,0.5714285714285714,0.3509453419686439,0.0,0.3838754083429064,0.38487919263501813
1390,1395,23:10,23:15,4,3,2,0.42500000000000004,0.3562071860802255,0.2,0.5943229123950005,0.3803017965200564
1470,1475,24:30,24:35,1,1,1,0.8,-5.13898384632941e-10,0.0,0.319439560174942,0.37999999987152544
885,890,14:45,14:50,1,1,1,0.8,-5.13898384632941e-10,0.0,0.37857770919799805,0.37999999987152544
365,370,06:05,06:10,1,1,1,0.8,-5.13898384632941e-10,0.0,0.6078572869300842,0.37999999987152544
165,170,02:45,02:50,1,1,1,0.8,-5.13898384632941e-10,0.0,0.2628803253173828,0.37999999987152544
920,925,15:20,15:25,1,1,1,0.8,-5.13898384632941e-10,0.0,0.21547196805477142,0.37999999987152544
1525,1530,25:25,25:30,1,1,1,0.8,-5.13898384632941e-10,0.0,0.2732785642147064,0.37999999987152544
1620,1625,27:00,27:05,1,1,1,0.8,-5.13898384632941e-10,0.0,0.28273987770080566,0.37999999987152544
675,680,11:15,11:20,1,1,1,0.8,-5.13898384632941e-10,0.0,0.26435577869415283,0.37999999987152544
625,630,10:25,10:30,1,1,1,0.8,-5.13898384632941e-10,0.0,0.4236736297607422,0.37999999987152544
130,135,02:10,02:15,4,3,3,0.325,0.5343107791203382,0.2,0.5251148417592049,0.37982769478008455
190,195,03:10,03:15,2,2,2,0.55,0.3562071860802255,0.0,0.2888358011841774,0.37655179652005644
1445,1450,24:05,24:10,2,2,2,0.55,0.3562071860802255,0.0,0.28743116557598114,0.37655179652005644
1705,1710,28:25,28:30,2,1,2,0.5,0.3562071860802255,0.2,0.3706521689891815,0.3740517965200564
1720,1725,28:40,28:45,2,1,2,0.5,0.3562071860802255,0.2,0.3689945638179779,0.3740517965200564
1290,1295,21:30,21:35,2,1,2,0.5,0.3562071860802255,0.2,0.3509712815284729,0.3740517965200564
705,710,11:45,11:50,3,2,3,0.3333333333333333,0.5645750325118847,0.2,0.6586913665135702,0.3711437581279712
850,855,14:10,14:15,4,3,2,0.425,0.28898309764806296,0.2,0.39970286190509796,0.3634957744120158
560,565,09:20,09:25,3,2,2,0.43333333333333335,0.3271035749537682,0.2,0.34110716978708905,0.3567758937384421
1065,1070,17:45,17:50,3,2,2,0.43333333333333335,0.3271035749537682,0.2,0.47025371591250104,0.3567758937384421
390,395,06:30,06:35,2,2,2,0.5,0.3562071860802255,0.0,0.3410118669271469,0.35405179652005636
840,845,14:00,14:05,2,2,2,0.5,0.3562071860802255,0.0,0.3124944344162941,0.35405179652005636
1055,1060,17:35,17:40,2,2,2,0.5,0.3562071860802255,0.0,0.2665674090385437,0.35405179652005636
375,380,06:15,06:20,2,2,2,0.5,0.3562071860802255,0.0,0.33704592287540436,0.35405179652005636
615,620,10:15,10:20,2,2,2,0.5,0.3562071860802255,0.0,0.24296671897172928,0.35405179652005636
415,420,06:55,07:00,2,2,2,0.5,0.3562071860802255,0.0,0.5286059826612473,0.35405179652005636
1735,1740,28:55,29:00,3,3,2,0.4666666666666666,0.3271035749537682,0.0,0.37671783566474915,0.35177589373844204
225,230,03:45,03:50,2,1,2,0.45,0.3562071860802255,0.2,0.38259415328502655,0.3515517965200564
1690,1695,28:10,28:15,3,2,2,0.39999999999999997,0.3271035749537682,0.2,0.38305075963338214,0.3417758937384421
